NGF.axon.1.raw	NGF.axon.2.raw	NGF.cb.1.raw	NGF.cb.2.raw
ENSRNOT00000021772.0	3.00751879699248	45.1127819548872	274.486215538847	244.411027568922
ENSRNOT00000021613.0	0	3.00751879699248	130.225563909774	134.636591478697
ENSRNOT00000021391.0	0	0	1.00250626566416	2.00501253132832
ENSRNOT00000021286.0	1.00250626566416	0	19.9498746867168	22.9072681704261
ENSRNOT00000047856.0	0	0	1.00250626566416	0
ENSRNOT00000049179.0	0	1.00250626566416	0	0
ENSRNOT00000047760.0	0	0	0	0
ENSRNOT00000050604.0	0	0	0	0
ENSRNOT00000064178.0	0	0	341.553884711779	306.466165413534
ENSRNOT00000018981.0	0	0	0	1.00250626566416
ENSRNOT00000044964.0	0	1.00250626566416	0	0
ENSRNOT00000019799.0	5.0125313283208	1.00250626566416	903.458646616541	1109.87468671679
ENSRNOT00000033633.0	0	0	0	0
ENSRNOT00000020090.0	0	0	0	0
ENSRNOT00000071316.0	0	0	1.00250626566416	0
ENSRNOT00000075079.0	409.974937343358	725.513784461153	328.070175438596	334.83709273183
ENSRNOT00000058241.0	0	0	1.00250626566416	1.00250626566416
ENSRNOT00000002044.0	210.526315789474	190.47619047619	2308.0701754386	2266.16541353383
ENSRNOT00000047289.0	0	0	2.00501253132832	0.902255639097744
ENSRNOT00000039538.0	17.0426065162907	5.0125313283208	101.152882205514	117.042606516291
ENSRNOT00000068406.0	17.0426065162907	5.0125313283208	101.152882205514	117.042606516291
ENSRNOT00000071296.0	18.0451127819549	9.02255639097744	265.16290726817	362.556390977444
ENSRNOT00000068268.0	1.00250626566416	0	0	0
ENSRNOT00000020509.0	1.00250626566416	0	0	0
ENSRNOT00000037198.0	0	0	0	0
ENSRNOT00000020609.0	131.077694235589	108.170426065163	1021.70426065163	691.228070175439
ENSRNOT00000058172.0	0	0	0	1.8546365914787
ENSRNOT00000071271.0	1.00250626566416	0	21.0526315789474	19.047619047619
ENSRNOT00000021310.0	45.062656641604	35.0877192982456	1121.65413533835	1053.18295739348
ENSRNOT00000021455.0	26.015037593985	81.203007518797	1427.71929824561	1073.88471177945
ENSRNOT00000064332.0	26.015037593985	81.203007518797	1427.71929824561	1073.88471177945
ENSRNOT00000021976.0	16.0401002506266	82.2055137844611	1279.94987468672	1773.23308270677
ENSRNOT00000022360.0	0	1.00250626566416	80.0501253132832	69.9248120300752
ENSRNOT00000073043.0	25.062656641604	3.00751879699248	1359.6992481203	1629.12280701754
ENSRNOT00000022441.0	257.49373433584	205.112781954887	560.952380952381	432.631578947368
ENSRNOT00000022461.0	0	0	2.00501253132832	2.00501253132832
ENSRNOT00000022610.0	0	0	21.0025062656642	20
ENSRNOT00000029825.0	0	0	48.0200501253133	76.7919799498747
ENSRNOT00000037086.0	0	0	1.00250626566416	3.00751879699248
ENSRNOT00000058060.0	0	0	0	2.00501253132832
ENSRNOT00000023663.0	0	0	0	0
ENSRNOT00000037132.0	0	0	0	0
ENSRNOT00000024155.0	0	0	0	0
ENSRNOT00000058040.0	0	0	0	0
ENSRNOT00000023686.0	0	0	0	0
ENSRNOT00000044927.0	0	0	0	0
ENSRNOT00000035286.0	1.00250626566416	0	17.9949874686717	16.9924812030075
ENSRNOT00000034790.0	0	0	0	1.00250626566416
ENSRNOT00000031892.0	0	0	0	0
ENSRNOT00000018233.0	1.00250626566416	110.225563909774	73.1829573934837	63.9598997493734
ENSRNOT00000057965.0	0	0	0	0
ENSRNOT00000057963.0	0	0	8.02005012531328	6.01503759398496
ENSRNOT00000019069.0	31.077694235589	2.00501253132832	581.954887218045	567.117794486216
ENSRNOT00000019075.0	9.02255639097744	47.0676691729323	1238.04511278195	1408.62155388471
ENSRNOT00000019814.0	0	0	24.0100250626566	28.922305764411
ENSRNOT00000020084.0	0	1.00250626566416	10.0250626566416	8.02005012531328
ENSRNOT00000071916.0	4.01002506265664	0	52.0802005012531	50.0250626566416
ENSRNOT00000020134.0	4.01002506265664	0	52.0802005012531	50.0250626566416
ENSRNOT00000020428.0	3.00751879699248	9.02255639097744	213.082706766917	321.353383458647
ENSRNOT00000041817.0	3.00751879699248	9.02255639097744	213.082706766917	321.353383458647
ENSRNOT00000020597.0	0	0	0	0
